DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Austria,2024,11.52,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Bosnia and Herzegovina,2024,6.51,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Belgium,2024,22.28,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Bulgaria,2024,12.07,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Cyprus,2024,12.91,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Czechia,2024,26.61,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Germany,2024,25.07,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Denmark,2024,19.02,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,20.69,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Estonia,2024,21.01,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Greece,2024,15.56,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,Spain,2024,15.88,,
ESTAT:ISOC_CISCE_IC(1.0),17/07/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector","Enterprises experienced any ICT security related incidents leading to: unavailability of ICT services, destruction or corruption of data, disclosure of confidential data (for any reason)",Percentage of enterprises,European Union - 27 countries (from 2020),2024,21.54,,
