DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Austria,2024,90.51,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Bosnia and Herzegovina,2024,47.35,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Belgium,2024,86.99,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Bulgaria,2024,54.64,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Cyprus,2024,89.98,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Czechia,2024,78.66,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Germany,2024,90.07,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Denmark,2024,92.37,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,81.78,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Estonia,2024,77.65,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Greece,2024,54.73,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Spain,2024,80.10,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,European Union - 27 countries (from 2020),2024,79.23,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Finland,2024,84.29,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,France,2024,78.69,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Croatia,2024,78.31,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Hungary,2024,63.39,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Ireland,2024,61.98,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Italy,2024,79.53,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Lithuania,2024,67.30,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Luxembourg,2024,77.82,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Latvia,2024,60.48,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Montenegro,2024,48.02,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Malta,2024,83.78,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Netherlands,2024,87.28,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Norway,2024,79.90,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Poland,2024,71.10,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Portugal,2024,75.02,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Romania,2024,48.08,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Serbia,2024,72.78,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Sweden,2024,85.54,b,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Slovenia,2024,68.33,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Slovakia,2024,73.17,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: data backup to a separate location (including backup to the cloud),Percentage of enterprises,Türkiye,2024,54.90,,
