DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Austria,2024,63.64,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Bosnia and Herzegovina,2024,26.45,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Belgium,2024,61.75,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Bulgaria,2024,27.66,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Cyprus,2024,67.34,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Czechia,2024,54.84,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Germany,2024,64.33,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Denmark,2024,63.83,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,51.14,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Estonia,2024,47.30,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Greece,2024,30.21,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Spain,2024,45.39,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,European Union - 27 countries (from 2020),2024,49.64,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Finland,2024,56.37,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,France,2024,44.41,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Croatia,2024,35.37,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Hungary,2024,37.68,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Ireland,2024,36.45,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Italy,2024,42.18,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Lithuania,2024,29.47,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Luxembourg,2024,42.84,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Latvia,2024,30.12,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Montenegro,2024,26.28,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Malta,2024,64.56,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Netherlands,2024,59.28,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Norway,2024,47.43,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Poland,2024,44.90,,
ESTAT:ISOC_CISCE_RAN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",ICT security measure used: VPN (Virtual Private Network extends a private network across a public network to enable secure exchange of data over public network),Percentage of enterprises,Portugal,2024,47.41,,
