DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Austria,2024,19.91,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Bosnia and Herzegovina,2024,18.53,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Belgium,2024,29.11,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Bulgaria,2024,17.81,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Cyprus,2024,27.48,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Czechia,2024,20.20,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Germany,2024,22.86,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Denmark,2024,30.94,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,19.36,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Estonia,2024,19.22,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Greece,2024,22.53,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Spain,2024,14.57,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,European Union - 27 countries (from 2020),2024,20.05,,
ESTAT:ISOC_SKE_ITSPEN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise employed ICT/IT specialists (reduced comparability with 2007),Percentage of enterprises,Finland,2024,30.51,,
