DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Austria,2024,19.92,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Bosnia and Herzegovina,2024,18.14,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Belgium,2024,36.83,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Bulgaria,2024,9.11,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Cyprus,2024,29.94,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Czechia,2024,26.74,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Germany,2024,26.41,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Denmark,2024,35.23,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,21.66,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Estonia,2024,21.05,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Greece,2024,13.27,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Spain,2024,21.22,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,European Union - 27 countries (from 2020),2024,22.29,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,Finland,2024,38.33,,
ESTAT:ISOC_SKE_ITTN2(1.0),11/12/25 11:00:00,Annual,10 persons employed or more,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",Enterprise provided training to their personnel to develop their ICT skills,Percentage of enterprises,France,2024,13.07,,
