STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,AT,Austria,2024,,5.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,BA,Bosnia and Herzegovina,2024,,2.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,BE,Belgium,2024,,5.7,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,BG,Bulgaria,2024,,4.6,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,CH,Switzerland,2024,,5.7,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,CY,Cyprus,2024,,5.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,CZ,Czechia,2024,,4.5,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,DE,Germany,2024,,5.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,DK,Denmark,2024,,5.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,EE,Estonia,2024,,7.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,EL,Greece,2024,,2.5,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,ES,Spain,2024,,4.7,,d,definition differs (see metadata),,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,EU27_2020,European Union - 27 countries (from 2020),2024,,5.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,FI,Finland,2024,,7.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,FR,France,2024,,4.8,,d,definition differs (see metadata),,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,HR,Croatia,2024,,5.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,HU,Hungary,2024,,4.5,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,IE,Ireland,2024,,6.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,IS,Iceland,2024,,4.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,IT,Italy,2024,,4.0,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,LT,Lithuania,2024,,5.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,LU,Luxembourg,2024,,8.0,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,LV,Latvia,2024,,4.9,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,MT,Malta,2024,,5.2,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,NL,Netherlands,2024,,7.0,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,NO,Norway,2024,,5.5,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,PL,Poland,2024,,4.5,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,PT,Portugal,2024,,5.2,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,RO,Romania,2024,,2.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,RS,Serbia,2024,,4.3,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,SE,Sweden,2024,,8.6,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,SI,Slovenia,2024,,4.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,SK,Slovakia,2024,,4.6,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPT(1.0),Employed information and communications technology (ICT) specialists,A,Annual,PC_EMP,Percentage of total employment,TR,Türkiye,2024,,1.5,,,,,
